                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.54948,                 1.0471,                0.45635,                0.95736,                0.92643,                0.65393,                0.76256,                0.66269,                0.92591,                0.64424,                0.74901,                  0.621,                0.49759,                0.95929,                0.45621,                 1.0569,              0.0013928,              0.0013928,              0.0013928
                     48,                0.54786,                 1.0552,                0.45491,                0.95227,                0.91369,                0.66021,                0.76144,                0.65973,                0.90129,                0.65507,                0.75285,                0.62431,                0.50757,                0.94735,                0.46634,                 1.0546,              0.0013796,              0.0013796,              0.0013796
                     49,                0.54756,                 1.0352,                0.44751,                0.95282,                0.92334,                0.64994,                0.76173,                 0.6548,                0.90692,                0.64438,                0.75203,                0.62285,                0.51521,                0.95169,                0.45466,                  1.062,              0.0013664,              0.0013664,              0.0013664
                     50,                0.55097,                 1.0387,                0.45065,                0.95454,                0.91636,                0.66648,                0.76873,                0.66573,                  0.911,                0.65947,                0.75868,                0.63731,                0.50845,                0.98262,                0.44104,                 1.0575,              0.0013532,              0.0013532,              0.0013532
                     51,                0.54418,                 1.0274,                0.45247,                0.95469,                0.93084,                0.65735,                0.76342,                0.66159,                0.92697,                0.65336,                0.75866,                0.63255,                0.49931,                0.92059,                0.44406,                 1.0551,                0.00134,                0.00134,                0.00134
                     52,                0.53443,                 1.0177,                0.44215,                0.94757,                0.92924,                0.65889,                0.77418,                 0.6712,                0.91866,                0.65678,                0.75942,                0.63764,                0.48899,                0.91634,                0.43392,                 1.0502,              0.0013268,              0.0013268,              0.0013268
                     53,                0.53739,                 1.0484,                0.44338,                 0.9484,                0.90881,                0.67446,                0.76915,                0.66966,                0.92178,                0.65166,                0.76269,                0.63133,                0.49439,                 0.9023,                0.43378,                 1.0512,              0.0013136,              0.0013136,              0.0013136
                     54,                 0.5368,                  1.035,                0.44465,                0.94896,                0.92129,                0.66591,                0.76992,                0.66929,                0.91988,                0.66078,                0.76127,                0.63623,                0.49808,                0.93314,                0.44001,                 1.0558,              0.0013004,              0.0013004,              0.0013004
                     55,                0.54812,                 1.0302,                0.44787,                0.95352,                0.90593,                0.67389,                0.77127,                0.66512,                0.90205,                0.66678,                0.75897,                0.62568,                0.49971,                0.92664,                 0.4502,                 1.0512,              0.0012872,              0.0012872,              0.0012872
                     56,                0.53593,                 1.0052,                0.44228,                0.94875,                0.93271,                0.66534,                0.77121,                0.67245,                0.93839,                0.65678,                0.76457,                0.63725,                 0.4897,                0.93813,                0.43435,                 1.0457,               0.001274,               0.001274,               0.001274
