epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3008.12,0.53537,1.08298,0.51535,0.97304,0.90145,0.70753,0.82197,0.71437,0.91546,0.70381,0.81793,0.68192,0.54578,1.03111,0.56939,0.69621,0.0014852,0.0014852,0.0014852
41,3082.4,0.51653,0.99645,0.49865,0.96605,0.87982,0.7054,0.81748,0.70977,0.88125,0.70654,0.81157,0.68106,0.5413,0.97909,0.57564,0.68548,0.001472,0.001472,0.001472
42,3151.67,0.52547,1.04357,0.50499,0.96895,0.88322,0.71437,0.82667,0.72043,0.88778,0.71264,0.82271,0.69106,0.53106,0.98447,0.55643,0.68684,0.0014588,0.0014588,0.0014588
43,3232.88,0.53467,1.0365,0.5091,0.97156,0.88309,0.70239,0.81901,0.71487,0.89733,0.69764,0.81494,0.68234,0.53025,1.00587,0.56221,0.68606,0.0014456,0.0014456,0.0014456
44,3310.77,0.52409,0.99756,0.49614,0.96818,0.89062,0.7138,0.82405,0.71796,0.90181,0.71266,0.82075,0.68794,0.52364,0.97401,0.53482,0.67868,0.0014324,0.0014324,0.0014324
45,3383.66,0.52324,0.99316,0.49055,0.969,0.88441,0.71975,0.82458,0.71639,0.88724,0.71778,0.81797,0.68422,0.52905,0.98078,0.55456,0.68216,0.0014192,0.0014192,0.0014192
46,3470.56,0.52328,1.00689,0.49414,0.96989,0.90761,0.69327,0.82075,0.70839,0.89524,0.70647,0.81668,0.68037,0.5363,1.02948,0.55095,0.68568,0.001406,0.001406,0.001406
47,3546.92,0.51103,0.99694,0.4912,0.96639,0.89563,0.70981,0.83003,0.72108,0.90013,0.69954,0.82117,0.69069,0.52853,0.98683,0.54704,0.6842,0.0013928,0.0013928,0.0013928
48,3628.33,0.51921,1.00384,0.48921,0.9659,0.91229,0.69783,0.82173,0.71141,0.91321,0.6984,0.81758,0.68217,0.53931,1.0166,0.56895,0.68933,0.0013796,0.0013796,0.0013796
49,3699.93,0.50607,1.01286,0.47917,0.96113,0.89931,0.70782,0.81336,0.71055,0.89861,0.71152,0.81009,0.67829,0.52949,0.99184,0.56164,0.69043,0.0013664,0.0013664,0.0013664
50,3770.39,0.51028,1.01579,0.48366,0.96036,0.88124,0.72765,0.83279,0.72468,0.87806,0.72862,0.8305,0.69401,0.53637,1.01251,0.54423,0.68872,0.0013532,0.0013532,0.0013532
51,3877.68,0.51206,0.9893,0.48899,0.96564,0.8873,0.71817,0.82925,0.72073,0.89724,0.71437,0.82265,0.69284,0.53144,0.99414,0.53863,0.68661,0.00134,0.00134,0.00134
52,3986.62,0.50143,0.95409,0.47328,0.96178,0.86721,0.72178,0.82834,0.72356,0.88053,0.72064,0.82131,0.69308,0.51463,0.97098,0.53089,0.68067,0.0013268,0.0013268,0.0013268
53,4106.54,0.51208,0.99007,0.48665,0.96435,0.89169,0.72178,0.83575,0.72954,0.9083,0.71209,0.82746,0.69733,0.50727,0.95404,0.52575,0.67122,0.0013136,0.0013136,0.0013136
