                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 0.4424,                0.85989,                0.42958,                0.95745,                0.88816,                0.75314,                 0.8565,                0.75956,                0.88816,                0.75314,                 0.8497,                0.72111,                0.48836,                0.95081,                0.55141,                0.75384,              0.0006536,              0.0006536,              0.0006536
                     70,                0.44351,                0.82521,                0.43565,                0.95594,                0.89108,                0.73831,                0.85512,                0.75781,                0.89452,                0.74116,                0.85019,                0.72233,                0.49469,                0.97509,                0.56362,                0.76012,              0.0006338,              0.0006338,              0.0006338
                     71,                0.44505,                0.85189,                0.43424,                0.95669,                 0.9049,                0.74318,                0.85924,                0.76323,                0.90698,                0.74489,                 0.8532,                0.72506,                0.49084,                0.95405,                0.54311,                0.75398,               0.000614,               0.000614,               0.000614
                     72,                0.45532,                0.84054,                0.44077,                0.95999,                0.89297,                0.75158,                0.85941,                0.76068,                  0.904,                0.75162,                 0.8533,                0.72173,                0.48911,                0.93535,                0.54071,                0.74866,              0.0005942,              0.0005942,              0.0005942
                     73,                0.44571,                0.85688,                0.43655,                0.96301,                 0.9074,                0.73747,                0.85639,                0.75855,                0.91244,                0.74002,                0.85198,                0.72275,                0.48757,                0.96221,                0.54559,                0.74928,              0.0005744,              0.0005744,              0.0005744
                     74,                0.44091,                0.84206,                0.42964,                 0.9574,                 0.8845,                0.75542,                0.85879,                0.76244,                0.88629,                0.75656,                0.85085,                0.72234,                0.48193,                0.93123,                0.54244,                0.74472,              0.0005546,              0.0005546,              0.0005546
                     75,                0.43952,                0.81045,                0.42514,                0.95549,                0.87063,                0.75199,                0.85873,                0.76291,                0.93228,                0.71425,                0.85141,                0.72372,                0.48271,                0.95344,                0.54234,                0.74542,              0.0005348,              0.0005348,              0.0005348
                     76,                0.44274,                0.82874,                0.42954,                0.95509,                0.89631,                0.74059,                0.85623,                0.75897,                0.90058,                0.74371,                0.84912,                0.72258,                0.48167,                0.96322,                0.53293,                0.74013,               0.000515,               0.000515,               0.000515
                     77,                 0.4384,                0.84127,                0.42284,                0.95326,                0.90919,                0.73633,                0.86016,                0.76371,                0.92039,                0.73828,                0.85601,                0.72502,                0.49269,                0.92458,                 0.5513,                0.75813,              0.0004952,              0.0004952,              0.0004952
                     78,                0.43242,                0.80396,                0.42085,                0.95126,                0.90861,                0.73122,                0.85808,                0.76532,                0.92103,                0.72691,                0.85511,                0.72713,                0.47837,                0.91723,                0.53923,                0.74352,              0.0004754,              0.0004754,              0.0004754
