                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.52179,                0.50887,                 1.0819,                 0.9115,                0.72577,                0.83635,                0.72978,                0.50596,                0.55717,                0.81873,              0.0004754,              0.0004754,              0.0004754
                     79,                0.51924,                0.50308,                  1.078,                0.92531,                0.72121,                0.84138,                0.73072,                0.51098,                0.55248,                0.82219,              0.0004556,              0.0004556,              0.0004556
                     80,                0.51634,                0.50366,                 1.0781,                0.90591,                0.73552,                0.83796,                0.72979,                0.52148,                0.56503,                 0.8303,              0.0004358,              0.0004358,              0.0004358
                     81,                0.51698,                 0.5018,                 1.0758,                0.90029,                0.74126,                0.84121,                0.73542,                0.50467,                0.54528,                0.81235,               0.000416,               0.000416,               0.000416
                     82,                0.52204,                0.50418,                 1.0787,                0.91212,                0.72789,                0.83907,                0.73465,                0.51265,                0.56905,                0.81986,              0.0003962,              0.0003962,              0.0003962
                     83,                0.50658,                0.49162,                 1.0689,                 0.9041,                0.73098,                0.84039,                0.73843,                0.50487,                 0.5538,                0.80895,              0.0003764,              0.0003764,              0.0003764
                     84,                0.50322,                0.49231,                 1.0702,                0.90903,                0.72691,                0.84292,                 0.7395,                0.49607,                 0.5523,                0.80904,              0.0003566,              0.0003566,              0.0003566
                     85,                0.50129,                 0.4885,                 1.0653,                0.90742,                0.73774,                0.84442,                0.73973,                0.50079,                0.53935,                0.80778,              0.0003368,              0.0003368,              0.0003368
                     86,                0.50353,                0.48373,                 1.0654,                  0.918,                0.72748,                0.84435,                0.73907,                0.50348,                 0.5464,                0.81222,               0.000317,               0.000317,               0.000317
                     87,                0.49759,                0.48921,                 1.0655,                0.89984,                 0.7273,                0.84643,                 0.7388,                0.50531,                0.55026,                 0.8143,              0.0002972,              0.0002972,              0.0002972
                     88,                0.50467,                0.49115,                 1.0647,                0.91298,                 0.7309,                0.84559,                 0.7402,                0.50449,                0.54347,                0.80914,              0.0002774,              0.0002774,              0.0002774
                     89,                0.49258,                0.47893,                 1.0624,                0.90461,                0.74072,                0.84494,                0.73874,                0.49628,                0.54551,                0.80862,              0.0002576,              0.0002576,              0.0002576
                     90,                0.50123,                0.48562,                 1.0663,                0.90271,                0.73945,                  0.846,                 0.7423,                0.49448,                 0.5401,                0.80719,              0.0002378,              0.0002378,              0.0002378
                     91,                0.54726,                0.55214,                 1.0875,                0.89474,                0.73663,                0.84239,                 0.7404,                0.49716,                0.52607,                0.80971,               0.000218,               0.000218,               0.000218
                     92,                0.53593,                0.52958,                 1.0757,                0.91939,                0.72181,                0.84537,                0.74424,                0.49416,                0.53226,                0.81098,              0.0001982,              0.0001982,              0.0001982
                     93,                0.52639,                0.52434,                 1.0739,                0.90449,                0.73774,                0.84558,                0.74479,                0.49069,                0.53368,                0.80908,              0.0001784,              0.0001784,              0.0001784
                     94,                0.52656,                0.52208,                 1.0674,                0.89125,                0.74293,                 0.8465,                0.74579,                0.48944,                0.52369,                0.80564,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.5211,                0.51039,                 1.0686,                0.90645,                0.73546,                0.84767,                0.74836,                0.49116,                0.53178,                0.80722,              0.0001388,              0.0001388,              0.0001388
                     96,                0.51962,                0.50595,                 1.0672,                0.90369,                0.74116,                0.84797,                0.74859,                 0.4885,                0.51895,                0.80547,               0.000119,               0.000119,               0.000119
                     97,                0.51122,                0.49831,                 1.0635,                0.90291,                0.74231,                0.84895,                0.75055,                0.48923,                0.52736,                0.80755,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.50351,                 0.4951,                 1.0559,                0.90149,                0.73564,                0.84838,                0.74983,                 0.4902,                0.52833,                0.80714,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.5088,                0.50032,                 1.0624,                0.90601,                0.73489,                0.84871,                0.75028,                0.48874,                0.52844,                0.80569,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.50317,                0.49345,                 1.0554,                0.90574,                0.73717,                0.84958,                0.75094,                0.48906,                0.52308,                0.80657,               3.98e-05,               3.98e-05,               3.98e-05
